"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"32",0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0
"33",1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"34",1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"35",0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0
"36",1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0
"37",0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1
"38",0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1
"39",1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1
"40",1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0
"41",0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0
"42",1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
"43",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
"44",1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1
"45",1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
"46",1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1
"47",0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0
"48",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"49",1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1
"50",0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0
"51",1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1
"52",0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0
"53",1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0
"54",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0
"56",1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
"57",1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0
"58",0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"59",1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
"60",0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
"61",1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0
"62",0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"63",1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
"64",0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0
"65",0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1
"66",0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1
"67",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
"68",1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0
"69",1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0
"70",0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1
"71",1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0
"72",0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0
"73",1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0
"74",1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0
"75",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0
"76",0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1
"77",1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"78",0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0
"79",1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0
"80",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
"81",0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1
"82",0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
"83",0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1
"84",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
"85",1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0
"86",1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0
"87",1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"88",1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1
"89",0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
"90",1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
"91",1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0
"92",0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1
"93",0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1
"94",1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1
"95",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1
"96",1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1
"97",0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
"98",0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
"99",1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
"100",1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0
"101",1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0
"102",1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"103",0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"104",0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1
"105",0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0
"106",1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
"107",0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0
"108",1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
"109",0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
"110",1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
"111",1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0
"112",0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
"113",0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
"114",1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1
"115",0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
"116",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
"117",1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
"118",1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1
"119",1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1
"120",1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1
"121",0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0
"122",0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1
"123",1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
"124",1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0
"125",0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
"126",0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1
"127",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1
"128",1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
"129",1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
"130",1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1
"131",1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0
"132",0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
"133",1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1
"134",0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0
"135",0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
"136",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
"137",1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0
"138",0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1
"139",0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1
"140",1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1
"141",0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1
"142",0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1
"143",0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1
"144",1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1
"145",1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1
"146",1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1
"147",0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1
"148",0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1
"149",0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
"150",0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
"151",1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
"152",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"153",1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
"154",1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1
"155",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
"156",0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
"157",1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
"158",1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
"159",1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0
"160",0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1
"161",0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0
"162",1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0
"163",0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
"164",0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0
"165",1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"166",0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1
"167",1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1
"168",0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
"169",0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"170",0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1
"171",0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0
"172",1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0
"173",0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0
"174",0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1
"175",1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
"176",1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0
"177",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
"178",1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1
"179",1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0
"180",0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
"181",1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1
"182",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1
"183",0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0
"184",1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0
"185",0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0
"186",0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0
"187",0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"188",0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1
"189",0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0
"190",1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1
"191",1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
"192",0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"193",1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"194",0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0
"195",1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1
"196",1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0
"197",1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0
"198",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
"199",1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1
"200",0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
